tsne1,tsne2,CD161,Ly-6G,AmCyan-A,CD11b,CD64,FcERI,CD3,CD19,CD11c,CD49b,MHCII
78.99483,-9.538955,-0.2989429945012252,0.3838986077857805,0.39422232584971645,-0.4147373070185393,-0.2486742288852002,0.2657989986005553,0.8343685859847173,0.6331103374891011,-0.33689282281734434,0.7730456566588917,0.11224576370554822
78.209595,-14.705873,-0.2976848895644161,0.3472959623782798,0.41595869649862816,-0.38193431662248534,-0.18667828664477398,0.19425921954289835,0.8105511300097403,0.5931501410623033,-0.3030327688625296,0.7442232044103069,0.11292652661796584
77.29263,-13.313158,-0.2978255768353134,0.32195558248982,0.4127134675596526,-0.38133424284183326,-0.25830532285933294,0.16384406304520285,0.8155595319984822,0.6118156851136849,-0.329203111023166,0.7642822711735584,0.11315343946028472
79.05385,-9.423066,-0.308060972245095,0.375535049842278,0.38758225108915173,-0.4051942038878549,-0.24663218794374686,0.26357730419126535,0.8452742150409924,0.6402434217686924,-0.3482864168888794,0.7995003371505538,0.11349379937383389
77.37322,-16.599226,-0.26844572879094897,0.3621379283882053,0.35045843424847095,-0.3407004600159227,-0.2207884466281479,0.1569229769192916,0.794192233770547,0.5858551194484463,-0.30751051765510706,0.755877191743229,0.11508194242715127
78.52716,-10.390959,-0.3123576654541411,0.3842714587390315,0.37051889902183993,-0.3887351459178069,-0.2607499670581884,0.2055703279442034,0.8288922803954736,0.6304034840991266,-0.3334332415799356,0.780093765244399,0.11508194242715127
78.44394,-15.21454,-0.2800444074113173,0.3426820230920795,0.3863561654690635,-0.37136947872205317,-0.17519213386798838,0.2286737686785183,0.8002353297654465,0.594638388295404,-0.29303569786384087,0.7473636560564165,0.11508194242715127
77.02099,-4.5301404,-0.3535274900672124,0.462260503518325,0.584516833042941,-0.38208781276549797,-0.21011974307737946,0.29234256017391363,0.8406350171226132,0.6550773891104693,-0.3551955520896609,0.80619206766036,0.11564903128936603
78.876396,-8.926904,-0.30816091519388167,0.40760642609230396,0.412129891834447,-0.4158258915737294,-0.2483750587316288,0.26222623602155004,0.8513662057962607,0.663546994528331,-0.36641790967466625,0.7973868170769147,0.1164428367855576
77.39796,-13.726671,-0.28806820692961976,0.33491920280553983,0.39154608610739744,-0.36789215664088193,-0.23418709519762942,0.13149069422197507,0.8025489821899815,0.6029102106711915,-0.3089378426083871,0.7521132769360649,0.1175765609547291
